class_id,class_name,iou,f1
0,Ground,0.6439,0.7834
1,Building,0.8069,0.8931
2,Low Vegetation,0.7920,0.8839
3,Medium Vegetation,0.1599,0.2757
4,High Vegetation,0.6658,0.7993
5,Vehicle,0.2587,0.4111
6,Truck,0.2258,0.3684
7,Aircraft,0.0600,0.1132
8,Military Vehicle,0.0696,0.1301
9,Bike,0.0192,0.0378
10,Motorcycle,0.0519,0.0986
11,Light Pole,0.2482,0.3977
12,Street Sign,0.0880,0.1617
13,Clutter,0.1181,0.2113
14,Fence,0.2715,0.4271
15,Road,0.3196,0.4844
16,Unassigned,0.0000,0.0000
17,Windows,0.0805,0.1490
18,Dirt,0.2571,0.4091
19,Grass,0.4353,0.6066
